"Netherlands"	"Finland"	"South.Korea"	"Italy"	"Thailand"	"Japan"	"Vietnam"	"Mexico"	"France"	"Armenia"
"1"	163.31	171.103	175.224	166.363	177.374	171.345	165.601	164.039	171.629	176.017
"2"	NA	167.96	177.564	178.559	171.442	148.542	166.902	174.091	172.801	157.232
"3"	NA	179.578	169.349	179.111	180.834	175.475	NA	181.352	182.256	175.433
"4"	NA	185.942	175.814	173.001	NA	164.841	NA	168.598	178.73	181.056
"5"	NA	178.002	169.625	170.643	NA	153.228	NA	169.887	179.786	176.52
"6"	NA	NA	154.447	174.69	NA	158.038	NA	173.789	176.119	167.748
"7"	NA	NA	172.095	177.842	NA	160.652	NA	185.865	166.391	164.234
"8"	NA	NA	184.166	172.737	NA	162.85	NA	NA	171.152	177.258
"9"	NA	NA	162.14	166.749	NA	180.754	NA	NA	163.098	175.265
"10"	NA	NA	164.604	165.962	NA	167.445	NA	NA	178.67	167.48
"11"	NA	NA	174.895	177.683	NA	157.247	NA	NA	174.754	NA
"12"	NA	NA	169.013	NA	NA	166.345	NA	NA	172.037	NA
"13"	NA	NA	169.066	NA	NA	169.717	NA	NA	178.128	NA
"14"	NA	NA	170.428	NA	NA	180.594	NA	NA	166.406	NA
"15"	NA	NA	166.173	NA	NA	164.907	NA	NA	175.849	NA
"16"	NA	NA	164.135	NA	NA	NA	NA	NA	185.014	NA
"17"	NA	NA	NA	NA	NA	NA	NA	NA	169.537	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	168.977	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	164.337	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	173.993	NA
"21"	180.509724601784	177.239794103006	168.65125391953	172.441162477953	167.745822555835	167.206488019328	163.261284642645	170.956643242387	172.418016953547	171.526642907663
