"Thailand"	"South Korea"	"Netherlands"	"Mexico"	"Ghana"	"Finland"	"Nigeria"	"Vietnam"	"Italy"	"Japan"
"1"	173.884	159.475	183.737	172.444	158.503	183.011	168.267	156.013	164.987	169.668
"2"	NA	182.916	192.013	168.2	173.135	178.025	175.317	159.794	171.014	177.859
"3"	NA	166.681	181.329	NA	167.691	168.916	NA	175.812	170.186	176.879
"4"	NA	175.818	187.074	NA	NA	179.844	NA	182.947	175.728	165.829
"5"	NA	175.205	188.253	NA	NA	181.885	NA	NA	170.274	161.733
"6"	NA	NA	168.943	NA	NA	170.743	NA	NA	180.916	173.115
"7"	NA	NA	183.822	NA	NA	182.361	NA	NA	173.442	176.448
"8"	NA	NA	183.89	NA	NA	173.299	NA	NA	175.583	166.083
"9"	NA	NA	192.557	NA	NA	180.171	NA	NA	172.935	172.031
"10"	NA	NA	NA	NA	NA	186.228	NA	NA	180.273	171.865
"11"	NA	NA	NA	NA	NA	174.371	NA	NA	177.144	NA
"12"	NA	NA	NA	NA	NA	172.597	NA	NA	170.286	NA
"13"	NA	NA	NA	NA	NA	173.707	NA	NA	173.397	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	162.089	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	161.627	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	174.348	NA
"17"	NA	NA	NA	NA	NA	NA	NA	NA	166.28	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	168.844	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	174.838	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	153.403	NA
"21"	167.680573510874	170.577424511286	182.921218122096	170.114352573818	170.197935357424	177.113773603664	170.460730837587	167.974368178917	172.212798268114	167.44212451801
