"Hollanti"	"Vietnam"	"Serbia"	"Suomi"	"Thaimaa"	"Saksa"	"Japani"	"Ranska"	"Meksiko"	"Ruotsi"
"1"	174.873	166.148	176.583	175.863	168.782	184.149	168.65	162.024	165.901	178.257
"2"	NA	178.006	183.066	181.133	166.749	159.267	171.273	167.495	174.661	178.904
"3"	NA	169.376	182.752	NA	173.579	174.912	NA	183.887	170.353	175.963
"4"	NA	167.349	179.385	NA	NA	183.504	NA	172.788	171.592	176.597
"5"	NA	168.647	179.651	NA	NA	180.105	NA	NA	162.842	175.652
"6"	NA	NA	181.87	NA	NA	174.207	NA	NA	171.561	183.363
"7"	NA	NA	182.03	NA	NA	180.293	NA	NA	162.496	171.527
"8"	NA	NA	177.504	NA	NA	NA	NA	NA	172.265	174.3
"9"	NA	NA	181.703	NA	NA	NA	NA	NA	171.456	177.667
"10"	NA	NA	NA	NA	NA	NA	NA	NA	170.171	172.574
"11"	NA	NA	NA	NA	NA	NA	NA	NA	167.183	177.927
"12"	NA	NA	NA	NA	NA	NA	NA	NA	176.943	169.711
"13"	NA	NA	NA	NA	NA	NA	NA	NA	171.568	179.986
"14"	NA	NA	NA	NA	NA	NA	NA	NA	177.563	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	172.511	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	175.421	NA
"17"	NA	NA	NA	NA	NA	NA	NA	NA	168.442	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	186.633	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	176.168	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	177.298	NA
"21"	182.121002873624	166.779503751167	180.48551855077	177.578468793116	167.235185279766	175.245066907675	169.182343246653	175.29007376596	171.876069141078	177.070397234424
