"Netherlands"	"Vietnam"	"Serbia"	"Finland"	"Thailand"	"Germany"	"Japan"	"France"	"Mexico"	"Sweden"
"1"	167.275	179.257	154.96	165.983	158.669	165.175	156.739	171.123	174.826	175.885
"2"	NA	180.988	171.593	167.977	169.454	157.029	149.971	180.314	172.673	170.161
"3"	NA	177.692	168.636	NA	156.945	164.64	NA	173.504	170.654	178.966
"4"	NA	185.618	169.782	NA	NA	176.724	NA	162.943	165.056	175.727
"5"	NA	201.828	182.516	NA	NA	172.033	NA	NA	169.633	175.113
"6"	NA	NA	177.391	NA	NA	171.079	NA	NA	169.428	170.603
"7"	NA	NA	162.198	NA	NA	174.96	NA	NA	175.48	172.925
"8"	NA	NA	175.87	NA	NA	NA	NA	NA	171.591	185.351
"9"	NA	NA	172.829	NA	NA	NA	NA	NA	172.215	171.056
"10"	NA	NA	NA	NA	NA	NA	NA	NA	178.301	175.184
"11"	NA	NA	NA	NA	NA	NA	NA	NA	169.699	172.845
"12"	NA	NA	NA	NA	NA	NA	NA	NA	174.938	182.342
"13"	NA	NA	NA	NA	NA	NA	NA	NA	178.98	167.229
"14"	NA	NA	NA	NA	NA	NA	NA	NA	172.669	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	181.093	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	180.183	NA
"17"	NA	NA	NA	NA	NA	NA	NA	NA	182.865	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	185.997	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	176.054	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	173.35	NA
"21"	177.364240786122	180.434104382885	168.573571258111	170.598261586733	160.620787528212	171.290620696525	160.527687556676	175.335029073377	175.24708514805	176.874379217576
